============================================================
Horizon training — 72h target (fwdMaxFavR72H)
  CSV source: /Volumes/External/CryptoLens/ml-training/csv_exports_v14_stocks
  Output suffix: h72t25
============================================================

--- Loading Stocks ---
  Stocks raw distribution:    mean=0.615 median=0.671 p90=0.788 max=0.875
  Stocks mapped distribution: mean=0.618 median=0.663 p90=0.820 max=0.850
  Stocks actual goodR rate:   61.8%
  reliability check (mapped prob bucket -> actual win rate):
    [0.00, 0.30): n= 4253, actual=26.9%
    [0.30, 0.50): n=47193, actual=42.6%
    [0.50, 0.60): n=17205, actual=52.5%
    [0.60, 0.70): n=11591, actual=65.0%
    [0.70, 0.85): n=69152, actual=78.1%
  wrote /Volumes/External/CryptoLens/marketscope-worker/src/ml-model-stock-h72t25.json (100 trees, xgboost, 160 cal breakpoints)
