symbol,side,R,n,p_target,p_stop,p_timeout,mean_timeout_r,ev_real,ev_binary_assumption
ETHUSDT,SHORT,5.0,14230,0.07842586085734364,0.7222768798313423,0.19929725931131412,1.3487793851931331,-0.06133954066003333,-0.5294448348559382
ETHUSDT,SHORT,8.0,14230,0.02607167955024596,0.7245959241040056,0.2493323963457484,1.8973210273786763,-0.04295888930853529,-0.7653548840477864
FILUSDT,LONG,1.0,10973,0.4480998815273854,0.5409641848172788,0.010935933655335824,-0.0695787532957173,-0.09362521191975631,-0.10380023694522927
FILUSDT,LONG,1.5,10973,0.33555089765788754,0.6344664175704001,0.029982684771712384,0.169819637080745,-0.12604842243693018,-0.16112275585528113
FILUSDT,LONG,2.0,10973,0.25899936207053675,0.6804884717032716,0.06051216622619156,0.4544511804919377,-0.134989922186581,-0.22300191378838974
FILUSDT,LONG,3.0,10973,0.16312767702542605,0.7149366627175795,0.12193566025699444,0.8432842866705523,-0.122727205361779,-0.3474892918982958
FILUSDT,LONG,5.0,10973,0.06470427412740362,0.7301558370545885,0.20513988881800785,1.393566594893288,-0.12075837008067154,-0.6117743552355782
FILUSDT,LONG,8.0,10973,0.018864485555454297,0.7347124760776451,0.24642303836690058,1.825547338878551,-0.13393966970494836,-0.8302196300009114
FILUSDT,SHORT,1.0,10973,0.5381390686229837,0.4509249977216805,0.010935933655335824,0.0695787532957173,0.08797497953116615,0.07627813724596733
FILUSDT,SHORT,1.5,10973,0.40681673197849266,0.5551808985692154,0.03800236945229199,0.27563503446747656,0.06551898381235194,0.017041829946231712
FILUSDT,SHORT,2.0,10973,0.31404356146906043,0.6058507245056046,0.08010571402533491,0.4620377141599122,0.059248259431929545,-0.057869315592818715
FILUSDT,SHORT,3.0,10973,0.19301922901667729,0.6389319238129956,0.16804884717032717,0.860435599558214,0.08472097380710347,-0.22792308393329086
FILUSDT,SHORT,5.0,10973,0.07409095051490021,0.6525107081017042,0.2733983413833956,1.4146513528061064,0.10470737796576328,-0.5554542969105987
FILUSDT,SHORT,8.0,10973,0.022692062334821836,0.6537865670281601,0.32352137063701814,1.813720406698546,0.1145272435778582,-0.7957714389866035
ICPUSDT,LONG,1.0,9598,0.45374036257553657,0.527714107105647,0.01854553031881642,-0.03472567479386139,-0.07461775058484137,-0.09251927484892691
ICPUSDT,LONG,1.5,9598,0.33111064805167745,0.6285684517607835,0.04032090018753907,0.22272262027345854,-0.12292210314171403,-0.17222337987080638
ICPUSDT,LONG,2.0,9598,0.25328193373619506,0.6773286101271098,0.06938945613669514,0.412321337252917,-0.14215398930918496,-0.24015419879141475
ICPUSDT,LONG,3.0,9598,0.14888518441341947,0.7185872056678475,0.13252760991873308,0.8006834949669348,-0.16581898253824326,-0.4044592623463221
ICPUSDT,LONG,5.0,9598,0.062408835173994585,0.7304646801416962,0.20712648468430922,1.3422603227755037,-0.14040284208400694,-0.6255469889560326
ICPUSDT,LONG,8.0,9598,0.021046051260679308,0.7319233173577828,0.24703063138153783,1.8026900017679757,-0.11823525795041978,-0.8105855386538863
ICPUSDT,SHORT,1.0,9598,0.5251093977912065,0.4563450718899771,0.01854553031881642,0.03472567479386139,0.06940833195596034,0.050218795582412934
ICPUSDT,SHORT,1.5,9598,0.392685976245051,0.563659095644926,0.043654928110022924,0.2649316334943256,0.03693544013691628,-0.01828505938737246
ICPUSDT,SHORT,2.0,9598,0.3027714107105647,0.6084600958533027,0.08876849343613252,0.5671101678100761,0.047424240776639384,-0.09168576786830596
ICPUSDT,SHORT,3.0,9598,0.17555740779329027,0.645446968118358,0.17899562408835173,0.9741262215215413,0.055589586223589074,-0.29777036882683894
ICPUSDT,SHORT,5.0,9598,0.05709522817253594,0.6541987914148781,0.28870598041258594,1.5661028722256947,0.08342061460068766,-0.6574286309647843
ICPUSDT,SHORT,8.0,9598,0.016461762867264012,0.6551364867680767,0.3284017503646593,1.8921288850361049,0.09793605393142342,-0.8518441341946239
LINKUSDT,LONG,1.0,13964,0.47429103408765394,0.5189057576625609,0.006803208249785162,0.016144344529180323,-0.04450489023701861,-0.05141793182469212
LINKUSDT,LONG,1.5,13964,0.35211973646519623,0.6227441993698081,0.025136064164995704,0.2491142627449009,-0.08830284257924233,-0.11970065883700942
LINKUSDT,LONG,2.0,13964,0.2767115439702091,0.6729447149813806,0.0503437410484102,0.45458409334545163,-0.09663616316085273,-0.1698653680893728
LINKUSDT,LONG,3.0,13964,0.1745201947865941,0.7103265539959897,0.11515325121741621,0.8691433315663133,-0.08668128923240964,-0.30191922085362355
LINKUSDT,LONG,5.0,13964,0.06667144084789459,0.7223574906903466,0.2109710684617588,1.5404303599254103,-0.06401404752647814,-0.5999713549126325
LINKUSDT,LONG,8.0,13964,0.01718705242050988,0.7254368375823547,0.2573761099971355,2.0657325380719618,-0.05627021327480443,-0.845316528215411
LINKUSDT,SHORT,1.0,13964,0.5168289888284159,0.4763678029217989,0.006803208249785162,-0.016144344529180323,0.040351352568728724,0.03365797765683176
LINKUSDT,SHORT,1.5,13964,0.38592093955886564,0.5852907476367802,0.028788312804354052,0.21772706923186547,-0.00014134332345961556,-0.0351976511028359
LINKUSDT,SHORT,2.0,13964,0.2928244056144371,0.6427241478086508,0.06445144657691206,0.4393244657938349,-0.028760239242734784,-0.12152678315668863
LINKUSDT,SHORT,3.0,13964,0.1753079346892008,0.6841879117731309,0.1405041535376683,0.8437398678140376,-0.039715151772333014,-0.2987682612431968
LINKUSDT,SHORT,5.0,13964,0.056287596677169864,0.6975794901174449,0.24613291320538527,1.4653922420006986,-0.0554602452193926,-0.6622744199369808
LINKUSDT,SHORT,8.0,13964,0.0146089945574334,0.6986536808937267,0.2867373245488399,1.844589258190523,-0.052869135649179784,-0.8685190489830994
LTCUSDT,LONG,1.0,14150,0.48508833922261485,0.5065724381625442,0.00833922261484099,0.06340796969114272,-0.020955325765119805,-0.0298233215547703
LTCUSDT,LONG,1.5,14150,0.356113074204947,0.6101766784452297,0.03371024734982332,0.30923977291001453,-0.06558251790260941,-0.10971731448763256
LTCUSDT,LONG,2.0,14150,0.2703886925795053,0.6602120141342757,0.06939929328621908,0.5437736214658346,-0.08169712393784807,-0.188833922261484
LTCUSDT,LONG,3.0,14150,0.1576678445229682,0.7016254416961131,0.14070671378091873,0.9309209383767459,-0.09763508209836741,-0.3693286219081272
LTCUSDT,LONG,5.0,14150,0.060565371024734985,0.7146289752650177,0.22480565371024736,1.4768110930909635,-0.0798066369524838,-0.6366077738515901
LTCUSDT,LONG,8.0,14150,0.015830388692579505,0.7165371024734982,0.26763250883392226,1.9059085989852487,-0.07981089297829423,-0.8575265017667845
LTCUSDT,SHORT,1.0,14150,0.5038162544169611,0.48784452296819786,0.00833922261484099,-0.06340796969114272,0.015442958273953727,0.007632508833922191
LTCUSDT,SHORT,1.5,14150,0.37003533568904595,0.5965371024734982,0.03342756183745583,0.14984090992798094,-0.0364752826575311,-0.07491166077738509
LTCUSDT,SHORT,2.0,14150,0.2826148409893993,0.6497526501766785,0.06763250883392226,0.3377017821116189,-0.061683349435984504,-0.152155477031802
LTCUSDT,SHORT,3.0,14150,0.1665017667844523,0.6901766784452297,0.14332155477031802,0.6927754954915949,-0.09138171697123995,-0.3339929328621908
LTCUSDT,SHORT,5.0,14150,0.06742049469964664,0.7015547703180212,0.23102473498233214,1.2721615508294801,-0.07055151168469467,-0.5954770318021202
LTCUSDT,SHORT,8.0,14150,0.021696113074204947,0.70226148409894,0.2760424028268551,1.6975418735670371,-0.06009904182665396,-0.8047349823321555
MANAUSDT,LONG,1.0,11393,0.45211972263670674,0.5407706486439041,0.007109628719389098,-0.05332563423244863,-0.08903005146781606,-0.09576055472658651
MANAUSDT,LONG,1.5,11393,0.32634073553936627,0.6459229351356096,0.027736329325024137,0.201758685612584,-0.15081578647822552,-0.18414816115158433
MANAUSDT,LONG,2.0,11393,0.2490125515667515,0.6946370578425349,0.056350390590713596,0.431660349065197,-0.17228772543668425,-0.2529623452997455
MANAUSDT,LONG,3.0,11393,0.15035548143596947,0.7317651189326779,0.11787939963135259,0.8397029820804203,-0.1817149912284733,-0.39857807425612213
MANAUSDT,LONG,5.0,11393,0.058895813218643026,0.7459843763714562,0.1951198104099008,1.4597248663470126,-0.16668407110599412,-0.6466251206881419
MANAUSDT,LONG,8.0,11393,0.014833669797243921,0.7487931185815851,0.2363732116211709,1.9251203455946835,-0.17507688135816002,-0.8664969718248048
MANAUSDT,SHORT,1.0,11393,0.5391029579566401,0.4537874133239709,0.007109628719389098,0.05332563423244863,0.08569467009328785,0.07820591591328019
MANAUSDT,SHORT,1.5,11393,0.41306065127709995,0.5579741946809444,0.028965154041955588,0.21880743622057386,0.06795457333035981,0.032651628192749915
MANAUSDT,SHORT,2.0,11393,0.3204599315369086,0.611340296673396,0.06819977178969543,0.46383314270188386,0.061212880881187016,-0.03862020538927424
MANAUSDT,SHORT,3.0,11393,0.19678750109716492,0.6474150794347406,0.15579741946809444,0.9065523640693931,0.08418594279146605,-0.21284999561134033
MANAUSDT,SHORT,5.0,11393,0.07293952426928815,0.658211182304924,0.2688492934257878,1.4795408643130492,0.1042599550066593,-0.562362854384271
MANAUSDT,SHORT,8.0,11393,0.021416659352233827,0.6600544193803213,0.3185289212674449,1.9012580882170225,0.11688454332832217,-0.8072500658298956
NEARUSDT,LONG,1.0,2946,0.49321113374066533,0.5030549898167006,0.00373387644263408,0.06349615730661849,-0.00960676927007033,-0.013577732518669394
NEARUSDT,LONG,1.5,2946,0.36795655125594023,0.608621860149355,0.023421588594704685,0.09598220173139488,-0.05443897762407798,-0.08010862186014944
NEARUSDT,LONG,2.0,2946,0.2997284453496266,0.6564833672776647,0.04378818737270876,0.30966706550931755,-0.04346671709073254,-0.10081466395112015
NEARUSDT,LONG,3.0,2946,0.19959266802443992,0.6870332654446707,0.11337406653088934,0.7787106016741763,3.0326191165936173e-05,-0.2016293279022403
NEARUSDT,LONG,5.0,2946,0.09775967413441955,0.7009504412763069,0.2012898845892736,1.495948286775286,0.0889671873923098,-0.4134419551934827
NEARUSDT,LONG,8.0,2946,0.03428377460964019,0.703326544467074,0.2623896809232858,2.176850787724032,0.14212683601855974,-0.6914460285132383
NEARUSDT,SHORT,1.0,2946,0.5023761031907671,0.4938900203665988,0.00373387644263408,-0.06349615730661849,0.008248996018203392,0.004752206381534174
NEARUSDT,SHORT,1.5,2946,0.37474541751527496,0.5987780040733197,0.026476578411405296,0.27711827125899824,-0.029322734162185386,-0.06313645621181263
NEARUSDT,SHORT,2.0,2946,0.2729124236252546,0.6541072640868975,0.07298031228784793,0.4841067661562709,-0.07295215386164351,-0.18126272912423624
NEARUSDT,SHORT,3.0,2946,0.1500339443312967,0.6904276985743381,0.15953835709436523,0.9399680077706096,-0.09036491389946145,-0.39986422267481325
NEARUSDT,SHORT,5.0,2946,0.04446707399864223,0.6958587915818059,0.25967413441955195,1.6506598636441123,-0.0448897502757142,-0.7331975560081466
NEARUSDT,SHORT,8.0,2946,0.010522742701968771,0.6958587915818059,0.2936184657162254,1.9730661056669538,-0.0323482072634368,-0.905295315682281
SANDUSDT,LONG,1.0,11345,0.4580872631115029,0.5333627148523579,0.008550022036139268,-0.038774623614735174,-0.07560697562720399,-0.08382547377699417
SANDUSDT,LONG,1.5,11345,0.33680035257822827,0.6350815337152931,0.028118113706478626,0.18957316063453342,-0.12455056516153229,-0.15799911855442927
SANDUSDT,LONG,2.0,11345,0.25368003525782284,0.6855883649184663,0.06073159982371089,0.41400948789335246,-0.15308483586086208,-0.23895989422653152
SANDUSDT,LONG,3.0,11345,0.15486998677831643,0.723843102688409,0.12128691053327458,0.7983644483754913,-0.16240198493039434,-0.3805200528867343
SANDUSDT,LONG,5.0,11345,0.06364037020713971,0.7379462318201852,0.19841339797267518,1.3895841092534114,-0.14403227589868406,-0.6181577787571617
SANDUSDT,LONG,8.0,11345,0.020978404583516966,0.7406787130894668,0.2383428823270163,1.8142106643463887,-0.14044727753260156,-0.8111943587483473
SANDUSDT,SHORT,1.0,11345,0.5315116791538123,0.4599382988100485,0.008550022036139268,0.038774623614735174,0.07190490423011275,0.06302335830762451
SANDUSDT,SHORT,1.5,11345,0.4052005288673424,0.5648303217276334,0.02996914940502424,0.31165745446286675,0.052310580389367534,0.013001322168356033
SANDUSDT,SHORT,2.0,11345,0.3143234905244601,0.6176289114147201,0.06804759806081974,0.5169739441610876,0.04619690479439045,-0.05702952842661968
SANDUSDT,SHORT,3.0,11345,0.19427060379021596,0.6539444689290437,0.15178492728074042,0.9412499385822375,0.07173489592231054,-0.22291758483913615
SANDUSDT,SHORT,5.0,11345,0.07668576465403261,0.6666372851476421,0.25667695019832526,1.5163193944436713,0.10599577581489389,-0.5398854120758043
